id,supplier,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"Рязанова А.В. ИП Глава К(Ф)Х_ЮР Валуйский МЭЗ ф-л, ООО_2022-07-06",Рязанова А.В. ИП Глава К(Ф)Х,2022-07-09,-0.1348181515932083,-0.13423725962638855,0.20597657561302185,-0.20391342043876648,0.4459850490093231,-0.021813983097672462,-0.1828998476266861,0.1790788322687149,-0.3460736572742462,0.2663164734840393,-0.27430540323257446,-0.2753674387931824,0.10607895255088806,-0.03091944195330143,0.14976289868354797,0.42976194620132446
"Осипов Л.А. ИП Глава К(Ф)Х_Юг Руси, АО_2022-07-12",Осипов Л.А. ИП Глава К(Ф)Х,2022-07-22,-0.4329943358898163,-0.4546778202056885,0.07825582474470139,-0.4871295988559723,0.6490817070007324,0.21636055409908295,-0.9089298248291016,0.1882326453924179,-0.9065852761268616,0.818795382976532,-0.7902449369430542,-0.2290748804807663,0.758675217628479,-0.435781866312027,0.540058434009552,0.8062822818756104
"ЛЕТО ООО_Юг Руси, АО_2022-07-15",ЛЕТО ООО,2022-07-31,-0.6120706796646118,-0.24237196147441864,0.10061666369438171,-0.38028326630592346,0.6820721626281738,-0.4455077648162842,-0.7989807724952698,-0.009151673875749111,-0.8852100372314453,0.7473496198654175,-0.6036642789840698,-0.683437168598175,0.4636785089969635,-0.004602426663041115,-0.047347523272037506,0.744674026966095
"ФОГОР ООО_ЮР Валуйский МЭЗ ф-л, ООО_2022-07-15",ФОГОР ООО,2022-08-15,-0.8740552067756653,-0.39967262744903564,-0.29764243960380554,-0.48981142044067383,0.899624764919281,0.6573218107223511,-0.977470874786377,0.08822714537382126,-0.9348939657211304,0.7612106800079346,-0.935486912727356,-0.11086218059062958,0.7052521705627441,-0.8595914244651794,0.8518656492233276,0.8423212170600891
"КМЗ ООО_ЮР Лабинский МЭЗ ф-л, ООО_2022-07-15",КМЗ ООО,2022-07-31,-0.5253349542617798,-0.6798154711723328,-0.1839611977338791,-0.42010852694511414,0.23483411967754364,0.057823773473501205,-0.9257758259773254,0.13962945342063904,-0.9030731916427612,0.770006000995636,-0.7230682969093323,-0.2164894938468933,0.5202140808105469,-0.3291296660900116,0.46986544132232666,0.7900133728981018
"КМЗ ООО_ЮР Лабинский МЭЗ ф-л, ООО_2022-07-20",КМЗ ООО,2022-08-07,-0.9851709604263306,-0.763597309589386,-0.9196370244026184,-0.8787961006164551,0.9950165748596191,0.7651811838150024,-0.9977984428405762,-0.028620118275284767,-0.9292262196540833,0.8989206552505493,-0.9700158834457397,-0.8934205770492554,0.9513243436813354,-0.7067953944206238,0.9555171132087708,0.9048701524734497
"БИЧЕВНИНСКИЙ ЭЛЕВАТОР ООО_ЮР Валуйский МЭЗ ф-л, ООО_2022-07-20",БИЧЕВНИНСКИЙ ЭЛЕВАТОР ООО,2022-08-27,-0.9522736072540283,-0.3759636878967285,-0.7446568608283997,-0.47427329421043396,0.9784882068634033,0.6110677719116211,-0.9831487536430359,0.05957677587866783,-0.944066047668457,0.7931711673736572,-0.958480715751648,-0.2944590151309967,0.7653568983078003,-0.9472364187240601,0.9025905728340149,0.851876437664032
"ЛЕТО ООО_Юг Руси, АО_2022-07-20",ЛЕТО ООО,2022-07-31,-0.6551982760429382,-0.563166081905365,0.0022341248113662004,-0.5263933539390564,0.562365710735321,-0.087570920586586,-0.9319985508918762,0.1566767543554306,-0.9387010335922241,0.8385513424873352,-0.8096590638160706,-0.44304782152175903,0.6203454732894897,-0.31873396039009094,0.4259326457977295,0.8428751230239868
"Осыченко Е.С. ИП Глава К(Ф)Х_ЮР Валуйский МЭЗ ф-л, ООО_2022-07-21",Осыченко Е.С. ИП Глава К(Ф)Х,2022-08-04,-0.5782942771911621,-0.42399853467941284,-0.0074659776873886585,-0.46021121740341187,0.6950013041496277,0.4431733191013336,-0.9578763246536255,0.14477190375328064,-0.9269511103630066,0.771774411201477,-0.8921776413917542,-0.06117265298962593,0.6510658860206604,-0.6598724126815796,0.7295103073120117,0.8213761448860168
"Овчаренко А.И. ИП Глава К(Ф)Х_ЮР Валуйский МЭЗ ф-л, ООО_2022-07-23",Овчаренко А.И. ИП Глава К(Ф)Х,2022-08-03,-0.46513670682907104,-0.4549219012260437,0.048266276717185974,-0.5029321312904358,0.654568076133728,0.43936970829963684,-0.9456413984298706,0.15803340077400208,-0.9089933037757874,0.7937743663787842,-0.8439667224884033,-0.15155962109565735,0.7787288427352905,-0.5483593940734863,0.6490135788917542,0.8110477924346924
"ВЕКТОР ООО_ЮР Валуйский МЭЗ ф-л, ООО_2022-07-25",ВЕКТОР ООО,2022-08-25,-0.8892598152160645,-0.5216613411903381,-0.2981356978416443,-0.6157387495040894,0.8708959817886353,0.568077027797699,-0.988368570804596,0.10006655752658844,-0.9484070539474487,0.7904248833656311,-0.9529641270637512,-0.17498722672462463,0.772659957408905,-0.8522098064422607,0.8852242231369019,0.8859901428222656
"Осыченко Е.С. ИП Глава К(Ф)Х_ЮР Валуйский МЭЗ ф-л, ООО_2022-07-27",Осыченко Е.С. ИП Глава К(Ф)Х,2022-08-05,-0.6919524073600769,-0.37182188034057617,-0.29261308908462524,-0.45560407638549805,0.8729965686798096,0.2710586488246918,-0.9690445065498352,0.12222689390182495,-0.93495112657547,0.8067751526832581,-0.9273776412010193,-0.09504541009664536,0.7593427300453186,-0.5923601984977722,0.6854269504547119,0.8159428834915161
