supplier,supplier_status,item,basis,spec_date,delivery_period_end,payment_terms,option,logistics,declared_price,consent_price,spec_price,volume_requested,volume_contracted,bids_submitted,bids_contracted,id,late
АВРОРА ООО,СХТП,подсолнечник,"Юг Руси, АО",2022-10-11,2022-10-31,По факту,15.0,0.0,23.5,22.0,22.0,100.0,100.0,1.0,1.0,"АВРОРА ООО_Юг Руси, АО_2022-10-11",0
АВРОРА ООО,СХТП,подсолнечник,"ЮР Успенский филиал, АО",2022-10-13,2022-10-24,По факту,5.0,0.0,20.99,20.99,0.0,44.39,0.0,1.0,0.0,"АВРОРА ООО_ЮР Успенский филиал, АО_2022-10-13",0
АВРОРА ООО,СХТП,подсолнечник,"ЮР Успенский филиал, АО",2022-10-29,2022-10-30,По факту,5.0,0.0,24.0,23.0,0.0,36.32,0.0,1.0,0.0,"АВРОРА ООО_ЮР Успенский филиал, АО_2022-10-29",0
АВРОРА ООО,СХТП,подсолнечник,"ЮР Успенский филиал, АО",2022-11-02,2022-11-02,По факту,5.0,0.0,24.0,24.0,24.0,58.04,58.04,1.0,1.0,"АВРОРА ООО_ЮР Успенский филиал, АО_2022-11-02",0
АВРОРА ООО,СХТП,подсолнечник,"ЮР Успенский филиал, АО",2023-01-30,2023-01-30,По факту,5.0,0.0,28.0,28.0,28.0,21.23,21.23,1.0,1.0,"АВРОРА ООО_ЮР Успенский филиал, АО_2023-01-30",0
АВРОРА ООО,СХТП,подсолнечник,"ЮР Успенский филиал, АО",2023-02-06,2023-02-06,По факту,5.0,0.0,28.5,28.5,28.5,21.55,21.55,1.0,1.0,"АВРОРА ООО_ЮР Успенский филиал, АО_2023-02-06",0
АВРОРА ООО,СХТП,подсолнечник,"Юг Руси, АО",2023-04-12,2023-04-23,По факту,15.0,0.0,22.0,22.0,22.0,70.0,70.0,1.0,1.0,"АВРОРА ООО_Юг Руси, АО_2023-04-12",0
АВТОКОМПЛЕКС ООО,Трейдер,подсолнечник,"ЮР Валуйский МЭЗ ф-л, ООО",2023-05-29,2023-06-12,По факту,5.0,0.0,25.0,23.0,0.0,1500.0,0.0,1.0,0.0,"АВТОКОМПЛЕКС ООО_ЮР Валуйский МЭЗ ф-л, ООО_2023-05-29",0
АВТОКОМПЛЕКС ООО,Трейдер,подсолнечник,"ЮР Лабинский МЭЗ ф-л, ООО",2023-05-29,2023-06-12,По факту,5.0,0.0,25.5,24.0,0.0,3000.0,0.0,1.0,0.0,"АВТОКОМПЛЕКС ООО_ЮР Лабинский МЭЗ ф-л, ООО_2023-05-29",0
АВТОКОМПЛЕКС ООО,Трейдер,подсолнечник,"ЮР Валуйский МЭЗ ф-л, ООО",2023-05-30,2023-06-13,По факту,5.0,0.0,23.0,23.0,23.0,500.0,240.0,1.0,1.0,"АВТОКОМПЛЕКС ООО_ЮР Валуйский МЭЗ ф-л, ООО_2023-05-30",1
АВТОКОМПЛЕКС ООО,Трейдер,подсолнечник,"ЮР Лабинский МЭЗ ф-л, ООО",2023-05-30,2023-06-13,По факту,5.0,0.0,24.0,23.0,23.0,2000.0,2000.0,1.0,1.0,"АВТОКОМПЛЕКС ООО_ЮР Лабинский МЭЗ ф-л, ООО_2023-05-30",0
АВТОКОМПЛЕКС ООО,Трейдер,подсолнечник,"ЮР Лабинский МЭЗ ф-л, ООО",2023-05-31,2023-06-14,По факту,5.0,0.0,24.0,23.0,0.0,2000.0,0.0,1.0,0.0,"АВТОКОМПЛЕКС ООО_ЮР Лабинский МЭЗ ф-л, ООО_2023-05-31",0
АВТОКОМПЛЕКС ООО,Трейдер,подсолнечник,"ЮР Чернянский МЭЗ ф-л, ООО",2023-06-01,2023-06-13,По факту,5.0,0.0,23.5,23.0,23.0,300.0,319.0,1.0,1.0,"АВТОКОМПЛЕКС ООО_ЮР Чернянский МЭЗ ф-л, ООО_2023-06-01",0
АВТОКОМПЛЕКС ООО,Трейдер,подсолнечник,"ЮР Чернянский МЭЗ ф-л, ООО",2023-06-14,2023-06-28,По факту,5.0,0.0,23.0,22.0,0.0,500.0,0.0,1.0,0.0,"АВТОКОМПЛЕКС ООО_ЮР Чернянский МЭЗ ф-л, ООО_2023-06-14",0
АВТОКОМПЛЕКС ООО,Трейдер,подсолнечник,"ЮР Лабинский МЭЗ ф-л, ООО",2023-06-16,2023-06-30,По факту,5.0,0.0,24.0,22.0,0.0,400.0,0.0,1.0,0.0,"АВТОКОМПЛЕКС ООО_ЮР Лабинский МЭЗ ф-л, ООО_2023-06-16",0
АВТОКОМПЛЕКС ООО,Трейдер,подсолнечник,"Юг Руси, АО",2023-06-22,2023-06-30,По факту,5.0,0.0,23.5,22.0,0.0,300.0,0.0,1.0,0.0,"АВТОКОМПЛЕКС ООО_Юг Руси, АО_2023-06-22",0
АВТОКОМПЛЕКС ООО,Трейдер,подсолнечник,"ЮР Лабинский МЭЗ ф-л, ООО",2023-06-28,2023-07-19,По факту,5.0,0.0,24.0,23.0,0.0,1500.0,0.0,1.0,0.0,"АВТОКОМПЛЕКС ООО_ЮР Лабинский МЭЗ ф-л, ООО_2023-06-28",0
АВТОКОМПЛЕКС ООО,Трейдер,подсолнечник,"Юг Руси, АО",2023-06-28,2023-07-19,По факту,5.0,0.0,23.0,22.5,22.5,1500.0,1500.0,1.0,1.0,"АВТОКОМПЛЕКС ООО_Юг Руси, АО_2023-06-28",0
АВТОКОМПЛЕКС ООО,Трейдер,подсолнечник,"ЮР Валуйский МЭЗ ф-л, ООО",2023-07-07,2023-07-30,По факту,5.0,0.0,24.0,23.0,23.0,500.0,500.0,1.0,1.0,"АВТОКОМПЛЕКС ООО_ЮР Валуйский МЭЗ ф-л, ООО_2023-07-07",0
