iter	Passed	Remaining
430	1646	2173
431	1650	2169
432	1654	2165
433	1658	2162
434	1662	2158
435	1665	2154
436	1669	2151
437	1673	2147
438	1677	2143
439	1680	2139
440	1684	2135
441	1689	2132
442	1692	2128
443	1696	2124
444	1700	2120
445	1704	2117
446	1708	2113
447	1712	2109
448	1716	2106
449	1720	2102
450	1724	2099
451	1728	2095
452	1732	2091
453	1736	2088
454	1740	2084
455	1744	2080
456	1747	2076
457	1751	2072
458	1755	2069
459	1759	2065
460	1763	2061
461	1767	2058
462	1771	2054
463	1775	2051
464	1779	2047
465	1783	2043
466	1787	2040
467	1791	2036
468	1794	2032
469	1798	2028
470	1802	2024
471	1806	2020
472	1810	2016
473	1813	2012
474	1817	2008
475	1821	2004
476	1824	2000
477	1828	1996
478	1832	1993
479	1836	1989
480	1840	1985
481	1843	1981
482	1847	1977
483	1851	1973
484	1854	1969
485	1858	1965
486	1862	1961
487	1866	1958
488	1870	1954
489	1874	1950
490	1877	1946
491	1881	1942
492	1885	1939
493	1889	1935
494	1892	1931
495	1896	1927
496	1900	1923
497	1904	1919
498	1907	1915
499	1911	1911
500	1915	1907
501	1919	1903
502	1922	1899
503	1926	1895
504	1929	1891
505	1933	1887
506	1937	1883
507	1940	1879
508	1944	1875
509	1947	1871
510	1951	1867
511	1955	1863
512	1958	1859
513	1962	1855
514	1966	1851
515	1970	1848
516	1974	1844
517	1978	1841
518	1982	1837
519	1986	1833
520	1989	1829
521	1993	1825
522	1997	1821
523	2000	1817
524	2004	1813
525	2008	1809
526	2011	1805
527	2015	1801
528	2019	1797
529	2022	1793
530	2026	1789
531	2030	1785
532	2033	1781
533	2037	1777
534	2040	1773
535	2044	1769
536	2048	1766
537	2051	1762
538	2055	1758
539	2059	1754
540	2063	1750
541	2066	1746
542	2070	1742
543	2073	1738
544	2077	1734
545	2081	1730
546	2085	1726
547	2088	1722
548	2092	1718
549	2096	1714
550	2100	1711
551	2103	1707
552	2107	1703
553	2111	1699
554	2114	1695
555	2118	1691
556	2122	1688
557	2126	1684
558	2129	1680
559	2133	1676
560	2137	1672
561	2141	1668
562	2144	1664
563	2148	1661
564	2152	1657
565	2156	1653
566	2159	1649
567	2163	1645
568	2167	1641
569	2171	1637
570	2174	1633
571	2178	1630
572	2182	1626
573	2186	1622
574	2189	1618
575	2193	1614
576	2197	1611
577	2201	1607
578	2205	1603
579	2209	1599
580	2213	1596
581	2216	1592
582	2220	1588
583	2224	1584
584	2228	1580
585	2232	1576
586	2236	1573
587	2240	1569
588	2244	1565
589	2247	1562
590	2251	1558
591	2255	1554
592	2259	1550
593	2263	1546
594	2267	1543
595	2270	1539
596	2274	1535
597	2278	1531
598	2282	1527
599	2286	1524
600	2290	1520
601	2294	1516
602	2297	1512
603	2301	1508
604	2305	1505
605	2309	1501
606	2312	1497
607	2316	1493
608	2320	1490
609	2324	1486
610	2328	1482
611	2332	1478
612	2336	1474
613	2339	1471
614	2343	1467
615	2347	1463
616	2351	1459
617	2355	1455
618	2358	1451
619	2362	1447
620	2366	1444
621	2370	1440
622	2373	1436
623	2377	1432
624	2381	1428
625	2385	1425
626	2389	1421
627	2393	1417
628	2396	1413
629	2400	1409
630	2404	1406
631	2408	1402
632	2411	1398
633	2415	1394
634	2419	1390
635	2423	1386
636	2427	1383
637	2431	1379
638	2434	1375
639	2438	1371
640	2442	1367
641	2445	1363
642	2449	1360
643	2453	1356
644	2457	1352
645	2460	1348
646	2464	1344
647	2468	1340
648	2471	1336
649	2475	1333
650	2479	1329
651	2483	1325
652	2487	1321
653	2491	1318
654	2495	1314
655	2499	1310
656	2502	1306
657	2506	1302
658	2509	1298
659	2514	1295
660	2518	1291
661	2521	1287
662	2524	1283
663	2527	1279
664	2531	1275
