iter	Logloss
0	0.6878739834
1	0.6817787086
2	0.6770875096
3	0.671710571
4	0.6669873001
5	0.6620230755
6	0.6575498315
7	0.6530561512
8	0.6492299219
9	0.6458364461
10	0.6420265826
11	0.6381295076
12	0.6346231473
13	0.6311599857
14	0.6280531471
15	0.6250923342
16	0.6221439796
17	0.6190129049
18	0.6163058345
19	0.6140433776
20	0.6115645729
21	0.6093901674
22	0.6072129208
23	0.6051609014
24	0.603108248
25	0.6009281544
26	0.599032
27	0.5972078594
28	0.595296676
29	0.5934425303
30	0.5918950641
31	0.5905615613
32	0.5890602538
33	0.5876329748
34	0.586417552
35	0.5847913635
36	0.5835167945
37	0.5822966037
38	0.5809249741
39	0.5795926306
40	0.5786106969
41	0.5777352448
42	0.5766621022
43	0.5755278505
44	0.5744424748
45	0.5735644672
46	0.5725124844
47	0.5715008831
48	0.570627905
49	0.5697183274
50	0.5688181391
51	0.5679889146
52	0.5670477242
53	0.566214833
54	0.565579398
55	0.5646788096
56	0.5641094297
57	0.5633959441
58	0.5625628066
59	0.5619314792
60	0.5613804996
61	0.5607005662
62	0.5598623273
63	0.5592210035
64	0.5587676919
65	0.5582712741
66	0.5577264971
67	0.5570527701
68	0.5563974554
69	0.5558166469
70	0.5552486167
71	0.55483476
72	0.5542604445
73	0.5537687914
74	0.5533680045
75	0.55284108
76	0.5523945742
77	0.5520473509
78	0.5516971935
79	0.5512943211
80	0.5508274945
81	0.5503186344
82	0.5500247608
83	0.5495716586
84	0.5490900626
85	0.5487264515
86	0.5483197311
87	0.5479993345
88	0.5477396599
89	0.5473293523
90	0.5469736707
91	0.5465588944
92	0.5461956463
93	0.5458146528
94	0.545440531
95	0.5452512805
96	0.5447875095
97	0.5444410649
98	0.5442604183
99	0.5439674248
100	0.5437012994
101	0.5434995429
102	0.5431043077
103	0.5428540741
104	0.5426146577
105	0.5422967761
106	0.5420069079
107	0.5417441885
108	0.5414387583
109	0.5411733023
110	0.5409006322
111	0.5405791258
112	0.5403043458
113	0.5400417986
114	0.5397462015
115	0.5394929229
116	0.5392026815
117	0.5389931581
118	0.538797221
119	0.5386297476
120	0.5383321684
121	0.5380672801
122	0.5378378562
123	0.5376856868
124	0.5375280677
125	0.5373008123
